"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Plot","Species","Sample","Filename_date","Timestamp","Comments"
1,"15:09:39",175.5,0,2.22,0.0177,192,0.22,1.2,24.88,6,1.42,1,2.84,20.87,24.88,20.07,402.79,400.02,19.601,19.86,78.02,79.04,500.6,1999,0,98.54,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,1,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_01_08022018","A01E","acpe","01","08022018",2018-08-02 15:06:58,"15:07:05 in NE #2784; "
2,"15:09:40",176.5,0,2.23,0.0175,189,0.217,1.2,24.88,6,1.42,1,2.84,20.87,24.88,20.06,402.8,400.02,19.603,19.859,78.02,79.04,500.5,1999,0,98.54,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_01_08022018","A01E","acpe","01","08022018",2018-08-02 15:06:58,"15:07:05 in NE #2784; "
3,"15:09:41",177,0,2.25,0.0175,187,0.217,1.2,24.88,6,1.42,1,2.84,20.87,24.88,20.07,402.81,400.01,19.604,19.859,78.03,79.04,500.5,1999,0,98.54,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_01_08022018","A01E","acpe","01","08022018",2018-08-02 15:06:58,"15:07:05 in NE #2784; "
4,"15:09:42",178,0,2.23,0.0176,190,0.219,1.2,24.88,6,1.42,1,2.84,20.87,24.88,20.07,402.81,400.02,19.602,19.86,78.02,79.04,500.4,1999,0,98.54,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_01_08022018","A01E","acpe","01","08022018",2018-08-02 15:06:58,"15:07:05 in NE #2784; "
5,"15:09:43",179,0,2.24,0.0176,189,0.219,1.2,24.88,6,1.42,1,2.84,20.87,24.88,20.06,402.8,400.01,19.601,19.858,78.01,79.04,500.3,1999,0,98.54,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,1,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_01_08022018","A01E","acpe","01","08022018",2018-08-02 15:06:58,"15:07:05 in NE #2784; "
1,"15:14:08",207.5,0,2.42,0.0222,218,0.275,1.2,24.88,6,1.42,1,2.84,20.88,24.88,20.06,403,399.97,19.519,19.842,77.65,78.93,500.4,2000,0,98.56,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_02_08022018","A01E","acpe","02","08022018",2018-08-02 15:10:48,"15:10:53 in NE; "
2,"15:14:09",208.5,0,2.51,0.0218,209,0.271,1.2,24.87,6,1.42,1,2.84,20.88,24.87,20.06,403.06,399.92,19.522,19.841,77.66,78.93,500.4,2000,0,98.56,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_02_08022018","A01E","acpe","02","08022018",2018-08-02 15:10:48,"15:10:53 in NE; "
3,"15:14:10",209.5,0,2.54,0.0218,206,0.271,1.2,24.88,6,1.42,1,2.84,20.88,24.88,20.06,403.08,399.91,19.521,19.839,77.66,78.93,500.4,2000,0,98.56,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_02_08022018","A01E","acpe","02","08022018",2018-08-02 15:10:48,"15:10:53 in NE; "
4,"15:14:11",210.5,0,2.6,0.0219,202,0.272,1.2,24.88,6,1.42,1,2.84,20.88,24.88,20.06,403.18,399.93,19.521,19.84,77.66,78.93,500.4,1999,0,98.56,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_02_08022018","A01E","acpe","02","08022018",2018-08-02 15:10:48,"15:10:53 in NE; "
5,"15:14:12",211.5,0,2.63,0.0217,199,0.271,1.2,24.9,6,1.42,1,2.84,20.88,24.9,20.06,403.21,399.93,19.52,19.838,77.66,78.92,500.3,1999,0,98.56,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_02_08022018","A01E","acpe","02","08022018",2018-08-02 15:10:48,"15:10:53 in NE; "
1,"15:19:17",270,0,1.88,0.0166,211,0.201,1.17,24.63,6,1.42,1,2.84,20.85,24.63,20.06,402.06,399.71,19.421,19.658,77.37,78.31,500.5,2000,0,98.54,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_03_08022018","A01E","acpe","03","08022018",2018-08-02 15:14:55,"15:14:57 in; 2. 15:15:04 in NE"
2,"15:19:18",270.5,0,1.91,0.0166,209,0.202,1.17,24.64,6,1.42,1,2.84,20.85,24.64,20.06,402.07,399.69,19.421,19.658,77.36,78.31,500.6,2000,0,98.54,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_03_08022018","A01E","acpe","03","08022018",2018-08-02 15:14:55,"15:14:57 in; 2. 15:15:04 in NE"
3,"15:19:18",271.5,0,1.97,0.0164,201,0.2,1.17,24.64,6,1.42,1,2.84,20.85,24.64,20.07,402.12,399.66,19.422,19.657,77.37,78.31,500.6,2000,0,98.54,-5.18,0.0655,0.0214,0.00919,0.0263,0.00643,0.7,-0.22,2.74,1,0,0.16,111115,"A01E_acpe_03_08022018","A01E","acpe","03","08022018",2018-08-02 15:14:55,"15:14:57 in; 2. 15:15:04 in NE"
